UniProt_ID,Name,Category,Type_ID,Type_Name,Psi_Peak,Psi_Avg,Xi_W,Beta,Disorder,HC,Agg_Bias,L,W_IDP,Omega_F,Omega_I,Omega_v20,Pathology_Index_Raw,Pathology_Index_Scaled,Pathology_Index,Hidden_Core
Q9BXS0,COL25A1,Pathogenic,1,Classic_IDP,0.5221716405763743,0.25390245929672983,0.2420628969436688,1.1559635416666665,0.5137614678899083,0.0576271186440678,0.0871559633027523,654,0.7256522990229501,0.038899619024030704,1.8310626534683758,0.7912212107867507,2.6374040359558357,1.9697951136685328,1.9697951136685328,None
P05067,APP,Pathogenic,6,Boundary_Hybrid,0.5916885337638836,0.28464071089474646,0.2735508130676784,1.2800438596491228,0.22727272727272727,0.1639215686274509,0.16883116883116883,770,0.10268539728712227,0.22743344356397308,0.5277598049170552,0.26653527792220505,0.8884509264073502,0.8884509264073502,0.8884509264073502,None
Q12830,BPTF,Pathogenic,1,Classic_IDP,0.7071578132492818,0.2786948699759341,0.27517095464458874,1.250564692982456,0.3319107025607354,0.09944097336402498,0.0,3046,0.2794557925567639,0.0982716044322866,1.281944137307196,0.33623676557708204,1.1207892185902735,1.7487798519498874,1.7487798519498874,Core_285-295_10aa
Q92673,SORL1,Pathogenic,6,Boundary_Hybrid,0.5283779745131486,0.24223439012642017,0.2389520813171191,1.2898939393939395,0.28545618789521227,0.17691263014938882,0.13459801264679314,2214,0.1608468018874697,0.24353933910212536,0.6877057590492176,0.3048614697176872,1.0162048990589574,1.5451118502231522,1.5451118502231522,Core_2135-2145_10aa
P02649,APOE,Pathogenic,6,Boundary_Hybrid,0.5966544691490675,0.3584721161262404,0.32454731018369404,1.2025268817204302,0.2302839116719243,0.19423076923076918,0.22397476340694006,317,0.1515656103583346,0.26914694316074067,0.5459824801696432,0.3058591652987567,1.0195305509958557,1.552868693778171,1.552868693778171,Core_0-10_10aa
O94985,CLSTN1,Pathogenic,6,Boundary_Hybrid,0.4836952157385839,0.2575787701927757,0.24948767630308835,1.2914604810996564,0.2599388379204893,0.15409836065573762,0.14984709480122327,981,0.12886618244670625,0.19368440303499715,0.571591124065603,0.2522702763389476,0.8409009211298254,1.2613513816947381,1.2613513816947381,Core_870-880_10aa
P10636,MAPT,Pathogenic,1,Classic_IDP,0.5283779745131486,0.2701240959989493,0.259433168716669,1.1435333333333335,0.39577836411609496,0.052324037184594954,0.017150395778364108,758,0.55369213522455,0.028865870637668354,1.2512318250061365,0.49535109057977667,1.651170301932589,1.694449065074332,1.694449065074332,None
P78380,OLR1,Pathogenic,6,Boundary_Hybrid,0.5023121969551173,0.22538319651736194,0.19984658151545406,1.2824358974358971,0.304029304029304,0.20298507462686563,0.13186813186813184,273,0.19398932137092084,0.28774583729221087,0.7073601981387382,0.3439114740478475,1.1463715801594918,1.7929068350469413,1.7929068350469413,Core_45-55_10aa
Q8IV08,PLD3,Pathogenic,6,Boundary_Hybrid,0.4427428677162178,0.19313830290209927,0.1813135088468687,1.3047569444444445,0.2857142857142857,0.2465979381443298,0.21020408163265306,490,0.14606917340018064,0.44639928758198083,0.6231405799631151,0.4193690121325675,1.3978967071085584,2.185324175636669,2.185324175636669,Core_35-45_10aa
P49768,PSEN1,Pathogenic,3,High_HC_Folded,0.4737667030183622,0.20753440618174632,0.19420243148056346,1.4253623188405797,0.2398286937901499,0.364069264069264,0.28051391862955033,467,0.03438023435902195,0.6342736461239635,0.4599983813439864,0.5175791909776738,1.7252639699255794,1.7610648903955135,1.7610648903955135,None
