UniProt_ID,Name,Category,Type_ID,Type_Name,Psi_Peak,Psi_Avg,Xi_W,Beta,Disorder,HC,Agg_Bias,L,W_IDP,Omega_F,Omega_I,Omega_v20,Pathology_Index_Raw,Pathology_Index_Scaled,Pathology_Index,Hidden_Core
K9N4V7,Middle East respiratory syndrome-related coronavirus (isolate United Kingdom/H123990006/2012),Pathogenic,1,Classic_IDP,0.5581699152775862,0.2300352220600491,0.21324432993887762,1.2149999999999999,0.39172749391727496,0.13940886699507388,0.01459854014598544,411,0.4459557460857637,0.13789854559054954,1.2378007607213497,0.46446752027633537,1.5482250675877847,2.399924997172969,2.399924997172969,Core_95-105_10aa
P12911,Chimpanzee hepatitis B virus (isolate United Kingdom/LSH/1988),Pathogenic,6,Boundary_Hybrid,0.33482713431940253,0.0966133579431134,0.08635525835881162,1.3288596491228069,0.3856041131105398,0.24375,0.13881748071979433,389,0.22646297245955238,0.45490713233663,0.8647378111554039,0.4632746861166883,1.5442489537222945,2.394374115179767,2.394374115179767,Core_355-365_10aa
P0C6U3,Human coronavirus HKU1 (isolate N1),Pathogenic,3,High_HC_Folded,0.5172066592717671,0.19533321271463322,0.1938581520164809,1.3469095665171897,0.23887273540594944,0.2854903716972682,0.26168642361887723,4471,0.07087713571165014,0.5462900804838852,0.43981340416052506,0.4627894923292409,1.5426316410974696,2.392114515975033,2.392114515975033,Core_3125-3135_10aa
P24438,Human herpesvirus 6A (strain Uganda-1102),Pathogenic,3,High_HC_Folded,0.3993180297568455,0.2189352288044916,0.2001693520498209,1.3164215686274507,0.20857142857142857,0.29449275362318833,0.2857142857142857,350,0.06718627075837498,0.5499519349625076,0.3461051698123832,0.4608169560598246,1.5360565201994154,2.3829177633727014,2.3829177633727014,Core_255-265_10aa
P89430,Human herpesvirus 2 (strain HG52),Pathogenic,3,High_HC_Folded,0.409242691134385,0.20884396299750105,0.18682599377478135,1.29316091954023,0.25,0.3003436426116839,0.2736486486486487,296,0.11676464383288353,0.5452670189725436,0.4467337029353706,0.4595966938068648,1.531988979356216,2.3772199486305396,2.3772199486305396,Core_140-150_10aa
Q1HVD2,Epstein-Barr virus (strain AG876),Pathogenic,3,High_HC_Folded,0.4836952157385838,0.2002394940289472,0.1917307336594452,1.3278571428571426,0.23796033994334279,0.29586305278174035,0.2705382436260623,706,0.08183035166590412,0.5436792140527855,0.41608126742409585,0.45921638501166373,1.5307212833722126,2.3754428252314366,2.3754428252314366,Core_680-690_10aa
P03204,Epstein-Barr virus (strain B95-8),Pathogenic,1,Classic_IDP,0.5482389989776357,0.2107921902735033,0.2042269022611998,1.2182142857142857,0.39314516129032256,0.0988855116514691,0.06854838709677419,992,0.44312402096610476,0.1003738800203629,1.3104562746434347,0.45859033986024794,1.5286344662008264,2.37251602648719,2.37251602648719,Core_140-150_10aa
Q89893,Human herpesvirus 6A (strain Uganda-1102),Pathogenic,1,Classic_IDP,0.5767910484571054,0.24286542366243888,0.2311138709045789,1.182267759562842,0.36612903225806454,0.1278048780487804,0.08225806451612905,620,0.44119873106617635,0.13989718890967284,1.2064053494380247,0.45619266072709225,1.5206422024236408,2.361290629338601,2.361290629338601,Core_150-160_10aa
P10192,Human herpesvirus 1 (strain 17),Pathogenic,3,High_HC_Folded,0.45391093377717745,0.20918049682474732,0.2008132769517574,1.2562837837837837,0.224,0.3291275167785234,0.3853333333333333,750,0.11361438126538878,0.5506897699656733,0.3559231312847713,0.45569425337470093,1.5189808445823365,2.3589539639979087,2.3589539639979087,Core_30-40_10aa
Q03874,Rotavirus A (isolate RVA/Equine/United States/FI-23/1981/G14P4[12]),Pathogenic,3,High_HC_Folded,0.409242691134385,0.19366958160057585,0.1758472274655535,1.3832291666666665,0.22699386503067484,0.2834890965732087,0.20552147239263802,326,0.04602685449414422,0.5327997539642776,0.4079756231737955,0.4554143364808708,1.5180477882695695,2.357641147766525,2.357641147766525,Core_35-45_10aa
Q69603,Hepatitis B virus genotype E subtype ayw4 (isolate Kou),Pathogenic,6,Boundary_Hybrid,0.33482713431940253,0.10849262743653769,0.09938791860672282,1.3439743589743587,0.37343358395989973,0.2461928934010152,0.15538847117794485,399,0.18986273424155353,0.4630226824735552,0.8263095220433554,0.4549673933679303,1.516557977893101,2.3555442393125263,2.3555442393125263,Core_365-375_10aa
P89445,Human herpesvirus 2 (strain HG52),Pathogenic,3,High_HC_Folded,0.4427428677162178,0.1918707865393311,0.18497684430045286,1.2969678714859436,0.2613365155131265,0.31068427370948376,0.2995226730310262,838,0.12584130041673136,0.5361301152130554,0.44868036058916205,0.454160422905922,1.5138680763530734,2.3517559021171395,2.3517559021171395,Core_810-820_10aa
Q80IU6,Hepatitis B virus genotype E (isolate Cote d'Ivoire/ABI-129/2003),Pathogenic,6,Boundary_Hybrid,0.33482713431940253,0.10491817869089957,0.09439801487955375,1.3448290598290598,0.37844611528822053,0.24314720812182736,0.14786967418546365,399,0.19305470378077677,0.45510734024208566,0.842870097548553,0.4531181534747089,1.5103938449156964,2.346858543360816,2.346858543360816,Core_365-375_10aa
P03231,Epstein-Barr virus (strain B95-8),Pathogenic,3,High_HC_Folded,0.4836952157385838,0.2002394940289472,0.1917307336594452,1.3280238095238095,0.23796033994334279,0.2924393723252496,0.26770538243626063,706,0.08172567877802647,0.5324389205125648,0.41551293759609087,0.4526938535018314,1.5089795116727713,2.3448634351052013,2.3448634351052013,Core_680-690_10aa
P03139,Hepatitis B virus genotype D subtype adw (isolate United Kingdom/adyw/1979),Pathogenic,6,Boundary_Hybrid,0.2939245094985286,0.09289745853726494,0.08308788589942961,1.3493859649122804,0.38817480719794345,0.2489583333333333,0.12596401028277637,389,0.19416772625070639,0.4520265722941111,0.8376178500327132,0.4511826461840958,1.5039421539469862,2.3377507856190705,2.3377507856190705,Core_355-365_10aa
F5HF36,Human herpesvirus 8 type P (isolate GK18),Pathogenic,6,Boundary_Hybrid,0.33482713431940253,0.1430750708198333,0.1186835756297509,1.351470588235294,0.3021978021978022,0.2531073446327684,0.26373626373626374,182,0.11570708754190012,0.5114835845705205,0.5865020308800587,0.45106590208251207,1.503553006941707,2.337200875218966,2.337200875218966,Core_160-170_10aa
P06482,Human herpesvirus 1 (strain MP),Pathogenic,6,Boundary_Hybrid,0.33482713431940253,0.1654347336429674,0.13657983824012426,1.316875,0.31976744186046513,0.25748502994011974,0.29651162790697677,172,0.17194703938889289,0.4985481780782211,0.6234167208163153,0.4506522644241507,1.502174214747169,2.3352519665250058,2.3352519665250058,Core_40-50_10aa
P28987,Human herpesvirus 1 (strain KOS),Pathogenic,6,Boundary_Hybrid,0.33482713431940253,0.1654347336429674,0.13657983824012426,1.316875,0.31976744186046513,0.25748502994011974,0.29651162790697677,172,0.17194703938889289,0.4985481780782211,0.6234167208163153,0.4506522644241507,1.502174214747169,2.3352519665250058,2.3352519665250058,Core_40-50_10aa
Q8JXB9,Hepatitis B virus genotype B1 (isolate Japan/Ry30/2002),Pathogenic,6,Boundary_Hybrid,0.3249092180902229,0.09822180972535878,0.08812517399595687,1.3397435897435896,0.3875,0.23848101265822785,0.14,400,0.2095596109575917,0.4386196541975094,0.8617009722012259,0.45026938912040826,1.5008979637346942,2.3334472833217754,2.3334472833217754,Core_365-375_10aa
Q3KSU8,Epstein-Barr virus (strain GD1),Pathogenic,6,Boundary_Hybrid,0.8002910041716228,0.21925343388386387,0.21656747575523796,1.2091430073606728,0.32462216624685136,0.20258593503626612,0.17821158690176322,3176,0.31808239642915426,0.34849259285658585,0.9537299470657885,0.4497822908367311,1.4992743027891038,2.3311503476079385,2.3311503476079385,Core_800-810_10aa
P89459,Human herpesvirus 2 (strain HG52),Pathogenic,6,Boundary_Hybrid,0.5581699152775862,0.22504321025049268,0.22259148177274934,1.2151232583065381,0.2821909032671365,0.25492460699390435,0.2767456758488149,3122,0.22836816588325995,0.47601445598922415,0.6677971512972743,0.44969439172712106,1.4989813057570702,2.3307357358228664,2.3307357358228664,Core_2050-2060_10aa
Q80IU3,Hepatitis B virus genotype E (isolate Cote d'Ivoire/ABI-212/2003),Pathogenic,6,Boundary_Hybrid,0.33482713431940253,0.10491817869089957,0.09439801487955375,1.3456410256410256,0.37593984962406013,0.2416243654822335,0.14786967418546365,399,0.1895305400741406,0.4513830718161343,0.8344480647836092,0.44945721339401384,1.4981907113133794,2.3296168057730497,2.3296168057730497,Core_365-375_10aa
Q9QAW8,Hepatitis B virus genotype E (isolate Chimpanzee/Ch195/1999),Pathogenic,1,Classic_IDP,0.5023121969551173,0.17587077533619505,0.16960459569238762,1.2329317269076303,0.331353919239905,0.19952210274790919,0.16270783847980996,842,0.30226090098468433,0.3479503508719891,0.9880961481869746,0.4489622035496873,1.4965406784989577,2.3272806519988816,2.3272806519988816,Core_485-495_10aa
F5HAW0,Human herpesvirus 8 type P (isolate GK18),Pathogenic,3,High_HC_Folded,0.3683081271750731,0.23156186326921377,0.20878528655420914,1.2997701149425285,0.20327868852459016,0.312,0.2885245901639344,305,0.07160227734146808,0.5319664314950879,0.3201485382107852,0.4483758589481401,1.4945861964938003,2.324511944856431,2.324511944856431,Core_150-160_10aa
P27955,Hepatitis C virus (isolate HCT27),Pathogenic,6,Boundary_Hybrid,0.2505757813960125,0.11793653896311226,0.10614658372397516,1.2849444444444447,0.2912621359223301,0.2914473684210526,0.23624595469255663,309,0.173602132064897,0.5238821238697129,0.47540569020872936,0.4481141398460583,1.493713799486861,2.323275583160159,2.323275583160159,Core_240-250_10aa
P89431,Human herpesvirus 2 (strain HG52),Pathogenic,3,High_HC_Folded,0.4278531102500217,0.21354716716060318,0.20502799825791954,1.260945945945946,0.23803191489361702,0.3199464524765729,0.3789893617021277,752,0.12658695307843512,0.5360300094320357,0.37974178984450807,0.44810189080530005,1.4936729693510002,2.323217710637496,2.323217710637496,Core_30-40_10aa
P30215,Human coronavirus OC43,Pathogenic,6,Boundary_Hybrid,0.3249092180902229,0.14680007481373542,0.13641327706748055,1.346382113821138,0.3231132075471698,0.26587112171837707,0.1910377358490566,424,0.13968882236044514,0.49109408348682015,0.6547997142414788,0.4465948967208363,1.488649655736121,2.3160921804976846,2.3160921804976846,Core_400-410_10aa
